LEAID,ZIP,LAT,LON
0103360,35401,33.203731,-87.561951
0103390,35403,33.203636,-87.566298
0103420,35674,34.73662,-87.700111
0103430,35216,33.43118,-86.790661
0103450,35501,33.834179,-87.274959
0103480,36518,31.465862,-88.257989
0103510,36726,32.003296,-87.290119
0103540,35594,33.933197,-87.811801
0103580,35553,34.146071,-87.402788
0200001,99559,60.802916,-161.77297
0200003,99632,62.092018,-163.724886
0200004,99551,60.913883,-161.448992
0200005,99563,61.531048,-165.585866
0200006,99835,57.050928,-135.351918
0200007,99661,55.342221,-160.496135
0200010,99518,61.173216,-149.882214
0200020,99684,63.876727,-160.793772
0200030,99633,58.733307,-157.004582
0200050,99780,63.333206,-142.958861
0200060,99574,60.543043,-145.757525
0200070,99588,62.11293,-145.526532
0200090,99921,55.475526,-133.1372
0200100,99737,64.043075,-145.711185
0200120,99576,59.042379,-158.464858
0200130,99741,64.746135,-156.878509
0200150,99901,55.353558,-131.677936
0200180,99504,61.193958,-149.775759
0200210,99801,58.302965,-134.424249
0200240,99835,57.065302,-135.351601
0200270,99827,59.234574,-135.453573
0200300,99829,58.108798,-135.442182
0200330,99922,55.207545,-132.825933
0200360,99830,56.977702,-133.947065
0200390,99669,60.48968,-151.071451
0200450,99925,55.553553,-133.099033
0200480,99615,57.794069,-152.395226
0200485,99613,58.701946,-156.666093
0200510,99645,61.611321,-149.097358
0200520,99627,62.95433,-155.595578
0200525,99926,55.126236,-131.577064
0200540,99760,64.561776,-149.088866
0200570,99762,64.542453,-165.40547
0200600,99701,64.842168,-147.718047
0200610,99723,71.291244,-156.788489
0200625,99752,66.901524,-162.586946
0200630,99832,57.956804,-136.222059
0200660,99833,56.814831,-132.954464
0200670,99660,57.120896,-170.279219
0200680,99658,62.052226,-163.180707
0200690,99840,59.463181,-135.307408
0200700,99919,55.689263,-132.524451
0200710,99576,59.043046,-158.468244
0200715,99777,65.171308,-152.087844
0200720,99685,53.872671,-166.529624
0200730,99820,57.497734,-134.584631
0200760,99557,61.582025,-159.538328
0200770,99743,63.872903,-149.015539
0200775,99740,66.564638,-145.254014
0200780,99686,61.133205,-146.376124
0200800,99507,61.1364,-149.848232
0200810,99929,56.47256,-132.374653
0200840,99689,59.546637,-139.723329
0200862,99709,64.83593,-147.826946
0400001,85266,33.785837,-111.953594
0400003,86323,34.7464,-112.453771
0400004,86324,34.767775,-112.066434
0400005,85348,33.781927,-113.619871
0400016,85635,31.55762,-110.290171
0400018,86001,35.191784,-111.666654
0400019,86001,35.238075,-111.668772
0400020,86001,35.200466,-111.631429
0400021,86021,36.996523,-113.004242
0400022,85940,34.253504,-109.692177
0400023,86510,36.11397,-110.216254
0400026,85928,34.426548,-110.59637
0400028,85546,32.83311,-109.7052
0400031,85085,33.790133,-112.120925
0400033,85210,33.403803,-111.836464
0400034,85023,33.6207,-112.115121
0400037,85017,33.524779,-112.122939
0400040,85201,33.424138,-111.830049
0400041,85034,33.44933,-111.997097
0400043,85281,33.415439,-111.919058
0400047,85256,33.507868,-111.832459
0400052,85040,33.374942,-112.07114
0400053,85210,33.41415,-111.8321
0400054,85016,33.50464,-112.020421
0400055,85051,33.544468,-112.117626
0400056,85004,33.464439,-112.069791
0400057,85003,33.456438,-112.081162
0400061,85021,33.553719,-112.107124
0400065,85142,33.240518,-111.683653
0400067,85041,33.392756,-112.094493
0400068,85021,33.56995,-112.082161
0400069,85004,33.475943,-112.069649
0400070,85282,33.392618,-111.918573
0400071,85224,33.308508,-111.874099
0400072,85204,33.393979,-111.769652
0400074,86409,35.22271,-114.027891
0400075,86426,35.033769,-114.595663
0400077,85939,34.4809,-110.0974
0400078,85716,32.235137,-110.934258
0400079,85705,32.24525,-110.972251
0400081,85719,32.265323,-110.946866
0400082,86442,35.1073,-114.611853
0400083,85714,32.167903,-110.943742
0400089,86336,34.862352,-111.819878
0400090,86323,34.799453,-112.493037
0400092,86314,34.58119,-112.357264
0400093,86303,34.541345,-112.456293
0400094,85364,32.677605,-114.64958
0400095,85364,32.699735,-114.66576
0400096,86005,35.162569,-111.669209
0400097,86004,35.19933,-111.606431
0400098,86001,35.212701,-111.645438
0400099,85501,33.401231,-110.775802
0400100,85023,33.644943,-112.083244
0400102,85003,33.439892,-112.075587
0400103,85308,33.640426,-112.136724
0400105,85206,33.381047,-111.732146
0400106,85050,33.486325,-112.068753
0400107,85014,33.513177,-112.06435
0400108,85014,33.513177,-112.06435
